Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,10/1/2015,274,0.14, ,0.03, ,366, ,14.5, ,77.0, ,60.0, ,67.9, ,73, ,51, ,62, ,54.4, ,6.4, ,153.3, ,72.2, 
2,FivePoints,San Joaquin Valley,10/2/2015,275,0.21, ,0.00, ,480, ,13.2, ,82.4, ,58.4, ,70.1, ,71, ,32, ,53, ,51.9, ,8.7, ,209.9, ,72.3, 
2,FivePoints,San Joaquin Valley,10/3/2015,276,0.19, ,0.00, ,474, ,10.8, ,88.4, ,53.7, ,70.4, ,70, ,23, ,43, ,46.6, ,5.5, ,131.5, ,71.8, 
2,FivePoints,San Joaquin Valley,10/4/2015,277,0.12, ,0.00, ,381, ,10.9, ,71.1, ,47.6, ,60.3, ,74, ,48, ,61, ,46.8, ,4.6, ,110.5, ,70.8, 
2,FivePoints,San Joaquin Valley,10/5/2015,278,0.15, ,0.00, ,453, ,10.8, ,82.6, ,48.6, ,65.8, ,82, ,28, ,50, ,46.5, ,3.3, ,80.2, ,70.3, 
2,FivePoints,San Joaquin Valley,10/6/2015,279,0.16, ,0.00, ,450, ,11.2, ,83.3, ,51.3, ,67.7, ,75, ,30, ,48, ,47.6, ,3.7, ,89.7, ,70.7, 
2,FivePoints,San Joaquin Valley,10/7/2015,280,0.17, ,0.00, ,445, ,12.2, ,87.3, ,55.7, ,70.5, ,68, ,31, ,48, ,49.7, ,3.8, ,91.4, ,71.0, 
2,FivePoints,San Joaquin Valley,10/8/2015,281,0.16, ,0.00, ,375, ,12.4, ,89.5, ,61.9, ,73.9, ,64, ,26, ,43, ,50.2, ,3.7, ,87.7, ,71.6, 
2,FivePoints,San Joaquin Valley,10/9/2015,282,0.21, ,0.00, ,454, ,10.6, ,91.4, ,57.6, ,74.4, ,67, ,21, ,36, ,46.0, ,5.9, ,140.9, ,72.0, 
2,FivePoints,San Joaquin Valley,10/10/2015,283,0.19, ,0.00, ,435, ,11.1, ,96.8, ,55.8, ,76.0, ,62, ,21, ,36, ,47.2, ,4.6, ,109.8, ,72.1, 
